Type of product,Sub industry,Industry,Generic product type,Search Modifiers
I1-General purpose cleaner,Faith,Facilities management,General purpose cleaner,officesupply:general purpose cleaner
I1-Wood furniture cleaner,Faith,Facilities management,Furniture polish,fine:Chemicals House Keeping Wax Furniture Polish Fine Solution Prime 
I2-General hard floor cleaner,Faith,Facilities management,Floor cleaner,fine:Floor Cleaner; gogreen:floor cleaner; officesupply:floor cleaner
I2-Hard floor polish,Faith,Facilities management,Floor polish,
I2-Marble floor cleaner,Faith,Facilities management,Marble floor cleaner,
I2-Hardwood and laminate floor cleaner,Faith,Facilities management,Floor cleaner,officesupply:wood floor cleaner
I3-Low-moisture waterless carpet cleaner,Faith,Facilities management,Carpet shampoo,
I3-High performance carpet shampoo,Faith,Facilities management,Carpet shampoo,gogreen:carpet shampoo
I3-Stain spot remover,Faith,Facilities management,Stain remover,gogreen: stain remover
"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",Faith,Facilities management,Disinfectant and cleaner,fine:Disinfectant; gogreen:disinfectant; officesupply:disinfectant
I5-Mildew and mold remover for wet areas,Faith,Facilities management,Disinfectant and cleaner,
I6-Heavy-duty toilet and urinal cleaner,Faith,Facilities management,"Toilet, shower and tile cleaner",officesupply:toilet cleaner
I6-Restroom deodorizer,Faith,Facilities management,Odor eliminator,officesupply:Blue Drops Automatic Bowl Cleaner - Hygiene Supplies | unbranded
I6-Restroom air freshener,Faith,Facilities management,Air freshener,officesupply:air freshener
I6-Shower and tile cleaner,Faith,Facilities management,"Toilet, shower and tile cleaner",officesupply:bathroom cleaner
I7-Streak-free glass cleaner for large window areas,Faith,Facilities management,Glass cleaner,fine:glass cleaner;  gogreen:glass cleaner; officesupply:glass cleaner
I8-Degreaser for food service areas,Faith,Facilities management,Degreaser,gogreen:Degrease and Multi-Purpose; officesupply:degreaser
I8-Grill cleaner,Faith,Facilities management,Degreaser,officesupply:grill cleaner
I8-Oven and appliance cleaner,Faith,Facilities management,Degreaser,gogreen: oven cleaner
I8-Food-safe surface sanitizer,Faith,Facilities management,Disinfectant and cleaner,gogreen:Surface Cleaner and Disinfectant; officesupply:surface sanitizer
I9-Air deodorizer,Faith,Facilities management,Air freshener,officesupply:air freshener
I9-Sewage odor control spray,Faith,Facilities management,Odor eliminator,
I12-Epoxy cleaner for heavy-traffic parking lot area,Faith,Facilities management,Epoxy cleaner,
I13-HVAC system cleaner,Faith,Facilities management,Disinfectant and cleaner,gogreen:Air Conditioner and Coil Cleaner 
I13-HVAC system deodorizer,Faith,Facilities management,Odor eliminator,
I14-Aerosol personal disinfectant,Faith,Facilities management,Cleaning wet wipes,
I14-Other pilgrims hygiene solutions,Faith,Facilities management,Cleaning wet wipes,
A1-Leather cleaner,Aviation,Transportation,Leather and vinyl cleaner,aerosense:deep cleaner leather; aerosense:leather cleaner conditioner
A1-Leather conditioner,Aviation,Transportation,Leather and vinyl conditioner,aerosense:leather conditioner; aerosense:leather cleaner conditioner
A1-Wet wipes for various cleaning purposes,Aviation,Transportation,Cleaning wet wipes,aerosense:cabin cleaning wipes triple action; aerosense:avionics wipes
A2-Broad-spectrum disinfectant for surfaces,Aviation,Transportation,Disinfectant and cleaner,aerosense:cabin disinfectant ready use; aerosense:cabin disinfectant concentrate
A3-Streak-free window cleaner,Aviation,Transportation,Glass cleaner,aerosense:windshield cleaner; aerosense:airframe cleaner
A3-Cockpit glass cleaner,Aviation,Transportation,Glass cleaner,aerosense:windshield cleaner; aerosense:airframe cleaner
A3-Mirror and plexiglass cleaner,Aviation,Transportation,Glass cleaner,aerosense:windshield cleaner; aerosense:airframe cleaner
A4-Lavatory disinfectant,Aviation,Transportation,Disinfectant and cleaner,aerosense:flushman lavatory additive
A4-Toilet and urinal cleaner,Aviation,Transportation,"Toilet, shower and tile cleaner",
A4-Odor urinal neutralizer,Aviation,Transportation,Odor eliminator,
A4-Aircraft air freshener,Aviation,Transportation,Air freshener,aerosense:aeroscent air freshener
A5-Food-safe surface cleaner,Aviation,Transportation,Disinfectant and cleaner,aerosense:cabin cleaner triple action
A5-Stainless steel polisher,Aviation,Transportation,Stainless steel cleaner,
A6-Non-slip floor cleaner,Aviation,Transportation,Floor cleaner,aerosense:hangar floor cleaner
A6-Heavy-duty floor degreaser ,Aviation,Transportation,Floor cleaner,
A6-Aircraft carpet shampoo,Aviation,Transportation,Carpet shampoo,
A6-Aircraft carpet spot remover,Aviation,Transportation,Carpet shampoo,aerosense:carpet cleaner
A7-Aicraft wet wash shampoo,Aviation,Transportation,Vehicle wet wash shampoo,
A7-Aircraft dry wash exterior cleaner,Aviation,Transportation,Vehicle dry wash exterior cleaner,
A7-Insect and soil remover,Aviation,Transportation,Bug remover,aerosense:insect remover
A12-Evacuation slide cleaner,Aviation,Transportation,General purpose cleaner,
A12-Evacuation slide lubricant,Aviation,Transportation,Surface lubricant and protectant,
A12-Life vest cleaner,Aviation,Transportation,General purpose cleaner,
A12-Life vest protectant,Aviation,Transportation,Surface lubricant and protectant,
A15-Potable water tank cleaner,Aviation,Transportation,Disinfectant and cleaner,
A15-Fuel tank cleaner,Aviation,Transportation,Disinfectant and cleaner,
A17-Portable fabric refresher for crew and passengers,Aviation,Transportation,Fabric refresher,
A17-Hand cleaner and degreaser for maintenance,Aviation,Transportation,Degreaser,
A18-Brush for seating cleaning,Aviation,Transportation,Brush,
A18-Sponge for aircraft cleaning,Aviation,Transportation,Sponge,
A4-Aircraft-grade gentle hand soap,Aviation,Transportation,Hand soap,
H1-All purpose cleaner,Home,Households,General purpose cleaner,
H2-Glass cleaner,Home,Households,Glass cleaner,
H3-Kitchen degreaser,Home,Households,Degreaser,
H3-Oven and grill cleaner,Home,Households,Degreaser,
H3-Stainless steel cleaner,Home,Households,Stainless steel cleaner,
H3-General sanitizer for vegetable and salad washing,Home,Households,Disinfectant and cleaner,
H4-Toilet bowl cleaner,Home,Households,"Toilet, shower and tile cleaner",
H4-Shower and tub cleaner,Home,Households,"Toilet, shower and tile cleaner",
H4-Mold and mildew remover,Home,Households,Disinfectant and cleaner,
H4-Tile and grout cleaner,Home,Households,"Toilet, shower and tile cleaner",
H5-Hardwood floor cleaner,Home,Households,Floor cleaner,
H5-Tile and laminate cleaner,Home,Households,Floor cleaner,
H5-Wax and floor polish,Home,Households,Floor polish,
H5-Marble cleaner,Home,Households,Marble floor cleaner,
H6-Wood polish for furniture,Home,Households,Furniture polish,
H6-Leather cleaner,Home,Households,Leather and vinyl cleaner,
H7-Carpet shampoo,Home,Households,Carpet shampoo,
H7-Spot remover for carpets,Home,Households,Stain remover,
H7-Fabric freshener for furnitures,Home,Households,Fabric refresher,
