date,industry,subindustry,type_of_product,generic_product_type,product,price_sar,company,source,url,unit_of_measurement,total_quantity,channel
2026-03-31,Pets,Pets,P1-Lavado en seco para mascotas,Eliminador de olores,Fancy Pets Espuma P/BAÑO EN SECO Essentials 300 G,148.99,Fancy Pets,amazon,https://www.amazon.com.mx/Fancy-Pets-Espuma-Essentials-Gramos/dp/B07HB8YP7Q/ref=sr_1_6?dib=eyJ2IjoiMSJ9.aSCKO7oYq7GHObC0m3W5kNxwOumDx1qCzfN0i_tbwWOK_dTYe-1mmZMmGD5g5e1hkebq9ixbnSqodAGbonGKvtGFnAEOZrfe37Lcx4KfNgGdQnFfI-borPud9YwUtN7fnXggFOOydqvXNGRH00Q6h7dShaSsRGHZSBX9UL5TeaOKXmvYjBhR06ODBV-8ziG3GFuNd-uJAUAur_2zVAmqW_AVT3Lz5OZRYLKQVBIOl_4WgNpF8BqVmZ3op13UQJUQk3iftmH1VNKGaAXqqi6ODFyWazJzkICE12GW92Cd2lw.vKeMga7nSQe_YQRtveJxM2w4GbLZFcjglwjWz8wdUf0&dib_tag=se&keywords=lavado+en+seco+para+mascotas+shampoo&qid=1774938576&sr=8-6&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,g,300.0,B2C
2026-03-31,Pets,Pets,P1-Lavado en seco para mascotas,Eliminador de olores,"Alnut Shampoo en Seco para Perros y Cachorros - Sin Sulfatos ni Parabenos - Espuma de Baño, 230 ml (Lavanda y Manzanilla)",219.00,Alnut,amazon,https://www.amazon.com.mx/Alnut-hipoalerg%C3%A9nico-extracto-Manzanilla-parabenos/dp/B082L5LQLR/ref=sr_1_7?dib=eyJ2IjoiMSJ9.aSCKO7oYq7GHObC0m3W5kNxwOumDx1qCzfN0i_tbwWOK_dTYe-1mmZMmGD5g5e1hkebq9ixbnSqodAGbonGKvtGFnAEOZrfe37Lcx4KfNgGdQnFfI-borPud9YwUtN7fnXggFOOydqvXNGRH00Q6h7dShaSsRGHZSBX9UL5TeaOKXmvYjBhR06ODBV-8ziG3GFuNd-uJAUAur_2zVAmqW_AVT3Lz5OZRYLKQVBIOl_4WgNpF8BqVmZ3op13UQJUQk3iftmH1VNKGaAXqqi6ODFyWazJzkICE12GW92Cd2lw.vKeMga7nSQe_YQRtveJxM2w4GbLZFcjglwjWz8wdUf0&dib_tag=se&keywords=lavado+en+seco+para+mascotas+shampoo&qid=1774938576&sr=8-7&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,ml,230.0,B2C
2026-03-31,Pets,Pets,P1-Lavado en seco para mascotas,Eliminador de olores,"Arm & Hammer Ultra Fresh No Rinse Deodorizing Foam for Dogs, Juniper Mist, 8 Oz | Waterless Dog Shampoo | Baking Soda Neutralizes Bad Odors for an Advanced Clean",131.40,Arm & Hammer,amazon,https://www.amazon.com.mx/Arm-Hammer-Deodorizing-Waterless-Neutralizes/dp/B08CL33BMJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.aSCKO7oYq7GHObC0m3W5kNxwOumDx1qCzfN0i_tbwWOK_dTYe-1mmZMmGD5g5e1hkebq9ixbnSqodAGbonGKvtGFnAEOZrfe37Lcx4KfNgGdQnFfI-borPud9YwUtN7fnXggFOOydqvXNGRH00Q6h7dShaSsRGHZSBX9UL5TeaOKXmvYjBhR06ODBV-8ziG3GFuNd-uJAUAur_2zVAmqW_AVT3Lz5OZRYLKQVBIOl_4WgNpF8BqVmZ3op13UQJUQk3iftmH1VNKGaAXqqi6ODFyWazJzkICE12GW92Cd2lw.vKeMga7nSQe_YQRtveJxM2w4GbLZFcjglwjWz8wdUf0&dib_tag=se&keywords=lavado+en+seco+para+mascotas+shampoo&qid=1774938576&sr=8-8&ufe=app_do%3Aamzn1.fos.1f47693a-e1a6-4b06-ba29-28033858cf82,fl oz,8.0,B2C
2026-03-31,Pets,Pets,P1-Lavado en seco para mascotas,Eliminador de olores,"""Champú seco Perros, champú en Polvo con Lavanda y Romero para Perros 5.29 oz, Ideal para",531.01,jatisse,amazon,https://www.amazon.com.mx/jatisse-Champ%C3%BA-Perros-champ%C3%BA-Lavanda/dp/B0CQXX7BD7/ref=sr_1_11?dib=eyJ2IjoiMSJ9.aSCKO7oYq7GHObC0m3W5kNxwOumDx1qCzfN0i_tbwWOK_dTYe-1mmZMmGD5g5e1hkebq9ixbnSqodAGbonGKvtGFnAEOZrfe37Lcx4KfNgGdQnFfI-borPud9YwUtN7fnXggFOOydqvXNGRH00Q6h7dShaSsRGHZSBX9UL5TeaOKXmvYjBhR06ODBV-8ziG3GFuNd-uJAUAur_2zVAmqW_AVT3Lz5OZRYLKQVBIOl_4WgNpF8BqVmZ3op13UQJUQk3iftmH1VNKGaAXqqi6ODFyWazJzkICE12GW92Cd2lw.vKeMga7nSQe_YQRtveJxM2w4GbLZFcjglwjWz8wdUf0&dib_tag=se&keywords=lavado+en+seco+para+mascotas+shampoo&qid=1774938576&sr=8-11&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,fl oz,5.29,B2C
2026-03-31,Pets,Pets,P1-Lavado en seco para mascotas,Eliminador de olores,"Shampoo en Seco para Perros y Cachorros - Sin Sulfatos ni Parabenos - Espuma de Baño, 230 ml (Áloe Vera y Avena)",219.00,Alnut,amazon,https://www.amazon.com.mx/Shampoo-Seco-para-Perros-Cachorros/dp/B082J67PX1/ref=sr_1_12?dib=eyJ2IjoiMSJ9.aSCKO7oYq7GHObC0m3W5kNxwOumDx1qCzfN0i_tbwWOK_dTYe-1mmZMmGD5g5e1hkebq9ixbnSqodAGbonGKvtGFnAEOZrfe37Lcx4KfNgGdQnFfI-borPud9YwUtN7fnXggFOOydqvXNGRH00Q6h7dShaSsRGHZSBX9UL5TeaOKXmvYjBhR06ODBV-8ziG3GFuNd-uJAUAur_2zVAmqW_AVT3Lz5OZRYLKQVBIOl_4WgNpF8BqVmZ3op13UQJUQk3iftmH1VNKGaAXqqi6ODFyWazJzkICE12GW92Cd2lw.vKeMga7nSQe_YQRtveJxM2w4GbLZFcjglwjWz8wdUf0&dib_tag=se&keywords=lavado+en+seco+para+mascotas+shampoo&qid=1774938576&sr=8-12&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,ml,230.0,B2C
2026-03-31,Pets,Pets,P1-Lavado en seco para mascotas,Eliminador de olores,"PSH PET SKIN HEALTHCARE Champú Seco en Espuma, 200 ml, con Aloe Vera 99% Puro, Sin Parabenos, Vegano",377.00,PSH PET SKIN HEALTHCARE,amazon,https://www.amazon.com.mx/PSH-PET-SKIN-HEALTHCARE-Parabenos/dp/B0FGVMBHQW/ref=sr_1_14?dib=eyJ2IjoiMSJ9.aSCKO7oYq7GHObC0m3W5kNxwOumDx1qCzfN0i_tbwWOK_dTYe-1mmZMmGD5g5e1hkebq9ixbnSqodAGbonGKvtGFnAEOZrfe37Lcx4KfNgGdQnFfI-borPud9YwUtN7fnXggFOOydqvXNGRH00Q6h7dShaSsRGHZSBX9UL5TeaOKXmvYjBhR06ODBV-8ziG3GFuNd-uJAUAur_2zVAmqW_AVT3Lz5OZRYLKQVBIOl_4WgNpF8BqVmZ3op13UQJUQk3iftmH1VNKGaAXqqi6ODFyWazJzkICE12GW92Cd2lw.vKeMga7nSQe_YQRtveJxM2w4GbLZFcjglwjWz8wdUf0&dib_tag=se&keywords=lavado+en+seco+para+mascotas+shampoo&qid=1774938576&sr=8-14&ufe=app_do%3Aamzn1.fos.db4f1a57-87f1-43c5-9a39-0cdca6036b57,ml,200.0,B2C
2026-03-31,Pets,Pets,P1-Lavado en seco para mascotas,Eliminador de olores,"Alnut Shampoo en Seco para Perros y Cachorros - Sin Sulfatos ni Parabenos - Espuma de Baño, 230 ml (Té Verde y Jojoba)",219.00,Alnut,amazon,https://www.amazon.com.mx/Alnut-hipoalerg%C3%A9nico-extracto-sulfatos-parabenos/dp/B088C3FVX4/ref=sr_1_19?dib=eyJ2IjoiMSJ9.aSCKO7oYq7GHObC0m3W5kNxwOumDx1qCzfN0i_tbwWOK_dTYe-1mmZMmGD5g5e1hkebq9ixbnSqodAGbonGKvtGFnAEOZrfe37Lcx4KfNgGdQnFfI-borPud9YwUtN7fnXggFOOydqvXNGRH00Q6h7dShaSsRGHZSBX9UL5TeaOKXmvYjBhR06ODBV-8ziG3GFuNd-uJAUAur_2zVAmqW_AVT3Lz5OZRYLKQVBIOl_4WgNpF8BqVmZ3op13UQJUQk3iftmH1VNKGaAXqqi6ODFyWazJzkICE12GW92Cd2lw.vKeMga7nSQe_YQRtveJxM2w4GbLZFcjglwjWz8wdUf0&dib_tag=se&keywords=lavado+en+seco+para+mascotas+shampoo&qid=1774938576&sr=8-19&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,ml,230.0,B2C
2026-03-31,Pets,Pets,P1-Lavado en seco para mascotas,Eliminador de olores,"Gato Consentido - Foam de Limpieza en Seco, Shampoo en Seco para Gatos, Ideal para Mantener la Higiene de tu Mascota, 150 ml",429.00,Gato Consentido,amazon,https://www.amazon.com.mx/Foam-limpieza-Gato-Consentido-150ml/dp/B08C8FZ2ZR/ref=sr_1_26?dib=eyJ2IjoiMSJ9.aSCKO7oYq7GHObC0m3W5kNxwOumDx1qCzfN0i_tbwWOK_dTYe-1mmZMmGD5g5e1hkebq9ixbnSqodAGbonGKvtGFnAEOZrfe37Lcx4KfNgGdQnFfI-borPud9YwUtN7fnXggFOOydqvXNGRH00Q6h7dShaSsRGHZSBX9UL5TeaOKXmvYjBhR06ODBV-8ziG3GFuNd-uJAUAur_2zVAmqW_AVT3Lz5OZRYLKQVBIOl_4WgNpF8BqVmZ3op13UQJUQk3iftmH1VNKGaAXqqi6ODFyWazJzkICE12GW92Cd2lw.vKeMga7nSQe_YQRtveJxM2w4GbLZFcjglwjWz8wdUf0&dib_tag=se&keywords=lavado+en+seco+para+mascotas+shampoo&qid=1774938576&sr=8-26,ml,150.0,B2C
2026-03-31,Pets,Pets,P1-Lavado en seco para mascotas,Eliminador de olores,"Champú En Seco Para Perros | Champú Relajante Para Perros 350g - Polvo Limpiador Para Aseo Diario De Mascotas De Pelo Largo - Uso En Viajes, Veterinaria Y Hogar Para Gatos, Hámsters Y Conejos",498.69,Genérico,amazon,https://www.amazon.com.mx/Champ%C3%BA-Seco-Para-Perros-Relajante/dp/B0FHF1ZJYG/ref=sr_1_38?dib=eyJ2IjoiMSJ9.aSCKO7oYq7GHObC0m3W5kNxwOumDx1qCzfN0i_tbwWOK_dTYe-1mmZMmGD5g5e1hkebq9ixbnSqodAGbonGKvtGFnAEOZrfe37Lcx4KfNgGdQnFfI-borPud9YwUtN7fnXggFOOydqvXNGRH00Q6h7dShaSsRGHZSBX9UL5TeaOKXmvYjBhR06ODBV-8ziG3GFuNd-uJAUAur_2zVAmqW_AVT3Lz5OZRYLKQVBIOl_4WgNpF8BqVmZ3op13UQJUQk3iftmH1VNKGaAXqqi6ODFyWazJzkICE12GW92Cd2lw.vKeMga7nSQe_YQRtveJxM2w4GbLZFcjglwjWz8wdUf0&dib_tag=se&keywords=lavado+en+seco+para+mascotas+shampoo&qid=1774938576&sr=8-38&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,g,350.0,B2C
2026-03-31,Pets,Pets,P1-Lavado en seco para mascotas,Eliminador de olores,Fancy Pets Espuma para Baño en Seco para Perros Contiene 300 Gramos,162.00,Fancy Pets,amazon,https://www.amazon.com.mx/Fancy-Pets-Espuma-BA%C3%91O-Repelente/dp/B07ZPFRB5G/ref=sr_1_43?dib=eyJ2IjoiMSJ9.aSCKO7oYq7GHObC0m3W5kNxwOumDx1qCzfN0i_tbwWOK_dTYe-1mmZMmGD5g5e1hkebq9ixbnSqodAGbonGKvtGFnAEOZrfe37Lcx4KfNgGdQnFfI-borPud9YwUtN7fnXggFOOydqvXNGRH00Q6h7dShaSsRGHZSBX9UL5TeaOKXmvYjBhR06ODBV-8ziG3GFuNd-uJAUAur_2zVAmqW_AVT3Lz5OZRYLKQVBIOl_4WgNpF8BqVmZ3op13UQJUQk3iftmH1VNKGaAXqqi6ODFyWazJzkICE12GW92Cd2lw.vKeMga7nSQe_YQRtveJxM2w4GbLZFcjglwjWz8wdUf0&dib_tag=se&keywords=lavado+en+seco+para+mascotas+shampoo&qid=1774938576&sr=8-43&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,g,300.0,B2C
