Type of product,Search Modifiers
H1-All purpose cleaner,
H2-Glass cleaner,
H3-Kitchen degreaser,
H3-Oven and grill cleaner,
H3-Stainless steel cleaner,
H3-General sanitizer for vegetable and salad washing,
H4-Toilet bowl cleaner,
H4-Shower and tub cleaner,
H4-Mold and mildew remover,
H4-Tile and grout cleaner,
H5-Hardwood floor cleaner,
H5-Tile and laminate cleaner,
H5-Wax and floor polish,
H5-Marble cleaner,
H6-Wood polish for furniture,
H6-Leather cleaner,
H7-Carpet shampoo,
H7-Spot remover for carpets,
H7-Fabric freshener for furnitures,
H8-Surface disinfectant spray,
H8-Disinfectant wipes,
H9-Stain remover for laundry,
H9-Fabric refresher,
H9-Stain remover on the go,
H11-Aerosol air freshener,
H11-Odor neutralizing spray,air
C1-Car wash shampoo,
C1-Waterless car wash product,
C2-Wheel cleaner,
C2-Wheel brightener,
C3-Car glass cleaner,
C4-Car upholstery cleaner, liquid
C4-Car leather cleaner,
C4-Car leather conditioner,
C4-Car dashboard and plastic protectant,
C4-Car surface disinfectant,
C4-Car surface disinfectant wet rags,
C4-Car air freshener,
C4-Car odor eliminator,
C5-Car gum remover,
C5-Car water spot remover,
C5-Car bug and poop remover,
C6-Car engine degreaser,
C7-Microfiber for vehicle cleaning,
C7-Long brush for seating cleaning,automotive
P1-Deodorizing wipes for pets,
P1-Waterless shampoo for pets,
P2-Pet-specific odor eliminator for home,
P2-Air freshener for pets,
P2-Fabric freshener for pets,
P2-Litter box deodorizer,
P3-Pet urine odor remover,
P3-Carpet cleaner for pet accidents,
P4-Flea and tick home spray,
P5-Antiseptic spray for pets,
P5-Pet-safe wound washes,
P6-Pet-safe disinfectant and cleaner,
P6-Cage and habitat cleaner,
P6-Aquarium cleaner ,Liquid treatment
A1-Leather cleaner,aerosense:deep cleaner leather; aerosense:leather cleaner conditioner
A1-Leather conditioner,aerosense:leather conditioner; aerosense:leather cleaner conditioner
A1-Wet wipes for various cleaning purposes,aerosense:cabin cleaning wipes triple action; aerosense:avionics wipes
A2-Broad-spectrum disinfectant for surfaces,aerosense:cabin disinfectant ready use; aerosense:cabin disinfectant concentrate
A3-Streak-free window cleaner,aerosense:windshield cleaner; aerosense:airframe cleaner
A3-Cockpit glass cleaner,aerosense:windshield cleaner; aerosense:airframe cleaner
A3-Mirror and plexiglass cleaner,aerosense:windshield cleaner; aerosense:airframe cleaner
A4-Lavatory disinfectant,aerosense:flushman lavatory additive
A4-Toilet and urinal cleaner,
A4-Odor urinal neutralizer,
A4-Aircraft air freshener,aerosense:aeroscent air freshener
A4-Aircraft-grade gentle hand soap,
A5-Food-safe surface cleaner,aerosense:cabin cleaner triple action
A5-Stainless steel polisher,
